,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,French,English
0,0,0,0,partie,part
1,1,1,1,histoire,history
2,2,2,2,chercher,search
3,3,4,4,police,police
4,4,5,6,aide,help
5,5,6,7,demande,request
6,6,8,9,mois,month
7,7,9,11,laisser,let
8,8,11,13,mettre,to put
9,9,13,15,laisse,leash
10,10,14,17,ville,city
11,12,16,20,arrivé,come
12,13,18,23,heures,hours
13,14,19,26,aucune,any
14,15,20,28,compris,understood
15,16,21,29,savais,knew
16,17,22,30,étaient,were
17,19,25,34,affaire,case
18,20,26,35,donner,give
19,21,27,36,type,type
20,22,28,37,leurs,their
21,23,29,38,donné,given
22,24,31,40,corps,body
23,25,34,44,dont,whose
24,26,35,46,perdu,lost
25,27,37,48,première,first
26,28,40,52,tiens,here
27,29,41,53,matin,morning
28,30,42,55,enfant,child
29,32,44,57,suite,after
30,33,45,58,pardon,sorry
31,34,46,59,venez,come
32,36,49,64,chambre,bedroom
33,37,50,65,mis,placed
34,38,51,66,belle,beautiful
35,39,52,67,droit,law
36,40,54,69,mari,husband
37,42,56,71,enfin,finally
38,43,61,78,arrêter,Stop
39,45,65,83,loin,far
40,46,66,84,croire,believe
